cleaned,complaint,not_complaint,username,tweet,date,kmeans_umap,kmeans_flair,kmeans_pca,dbscan_umap,dbscan_flair,dbscan_pca
case thn min sblm pandemi mendanai krn tenor hny bln proses peminjaman dah jalan cek portfolio kaget tenor dah berubah jd bln ada info opsi pembatalan resiko sepenuhnya ada pendana,1.0,0.0,arumst,"Case itu terjadi thn lalu min, sblm pandemi. Awalnya saya mendanai krn tenor hny 3 bln. Ketika proses peminjaman dah jalan, cek di portfolio, kaget, tenor dah berubah jd 24 bln. Tanpa ada info dan opsi pembatalan. Resiko sepenuhnya ada di pendana.",2020-08-11,0,0,0,-1,-1,0
ada dm gitu ya udah udah tanem investasi ga secepatnya giving them benefit of doubt,1.0,0.0,andifa,"ada yang DM gitu juga tapi ya udah, udah tanem investasi yang ga harus kembali secepatnya. Giving them benefit of doubt...",2020-08-10,0,0,0,-1,-1,0
tau pengalaman kalo ada udah pakai terima kasih,0.0,1.0,fernandagunsan,mau tau dong pengalaman kalian kalo ada yang udah pernah pakai koinworks.. Terima kasih...,2020-08-10,0,0,0,-1,-1,0
sudah dm ya silakan dicek,1.0,0.0,breyopo,Sudah saya DM ya silakan dicek.,2020-08-08,3,0,0,-1,-1,0
min withdrawal salah masukin norek ganti noreknya gimana ya,0.0,1.0,bangbingbung,"@koinworks min saya mau withdrawal tapi salah masukin norek, nah caranya ganti noreknya gimana ya",2020-08-07,0,0,0,-1,-1,0
tertarik utk invest tks sblmnya,0.0,1.0,breyopo,Karena saya tertarik utk mulai invest di KoinWorks. Tks sblmnya.,2020-08-07,0,0,0,-1,-1,6
coba invest investree and pluang deh ntar udah coba invest pengen nulis pengalamannya gimana,0.0,1.0,oline_bmi,"Mau coba invest di Investree, Koinworks and Pluang deh. Ntar kalau udah coba invest pengen nulis pengalamannya gimana.",2020-08-06,0,0,0,-1,-1,7
bisa dicicil mas,0.0,1.0,pacmannai,bisa dicicil kok mas di Koinworks,2020-08-06,0,0,0,-1,-1,0
awesome stuff adityachintawar,0.0,1.0,chinmaykothekar,Awesome stuff @adityachintawar !,2020-08-05,0,1,0,-1,-1,0
emas bagus pegadaian skrg byk ky gt beli emas digital ada toped ato pegadaian lgsg dana kalo udah nyampe brp gram bisa dicetak,1.0,0.0,glasgowsoul,"Emas. Bagus kok yg di pegadaian. Skrg byk juga yg ky gt, beli emas digital, ada di Toped ato app Pegadaian lgsg, Koinworks, Dana. Nanti kalo udah nyampe brp gram bisa dicetak.",2020-08-05,0,0,0,-1,-1,0
rekomendasi situs terpercaya penyedia platform peer to peer lending amartha investree modalku danamas uang teman danakita akseleran,0.0,1.0,eileneaevelyn,"Rekomendasi situs terpercaya penyedia platform peer to peer lending

- KoinWorks. 
- Amartha.
- Investree.
- Modalku. 
- Danamas.
- Uang Teman.
- DanaKita.
- Akseleran.",2020-08-05,0,4,0,-1,-1,0
cek dm ya min,1.0,0.0,bangbingbung,@koinworks cek dm ya min,2020-08-05,4,0,0,-1,-1,0
cek dm ya min,1.0,0.0,bangbingbung,@koinworks cek dm ya min,2020-08-05,4,0,0,31,-1,0
akseleran kl aq mah biar nambah trz kl males buka jenius tabung maxi savenya,0.0,1.0,dracolynx_,"koinworks atau akseleran kl aq mah, biar nambah trz.

kl males buka jenius tabung di maxi savenya.",2020-08-04,0,0,0,-1,-1,0
investasi mending asetku deh return nya menggiurkan tp ada gagal bayar wasalam sih,1.0,0.0,rintaniamr,Investasi mending di asetku atau koinworks deh return nya menggiurkan tp kalau ada yg gagal bayar wasalam sih,2020-08-04,0,0,0,-1,-1,0
reserve fund ngecover loan gagal bayar itupun discover maksimal tergantung grade loannya akseleran ga salah maksimal dicover loan gagal bayar,0.0,1.0,ramamyid,"Kalau koinworks, mereka punya semacam reserve fund buat ngecover loan yg gagal bayar, itupun yg discover maksimal 80%, tergantung grade loannya. Akseleran pun kalau ga salah sama, maksimal 80% yg dicover kalau loan gagal bayar",2020-08-02,0,0,0,-1,-1,0
email ya detailnya,1.0,0.0,fajaraismael,Saya email ya detailnya,2020-07-29,0,0,0,-1,-1,0
the financial technology finance company fintech lending also focuses on providing education to consumers in order to reduce fears of investment services,0.0,1.0,mimeasia,"The financial technology finance company (fintech lending) KoinWorks also focuses on providing education to consumers, in order to reduce fears of investment services.",2020-07-29,0,1,3,-1,-1,-1
koingold nya,0.0,1.0,lhie28,koinGold nya Koinworks aja,2020-07-27,0,0,0,-1,-1,0
identifikasi dana tunggal akun terisi ya akun kelengkapan profilnya sisa dokumen terverifikasi alasan trims,1.0,0.0,adrielbernardio,"@koinworks identifikasi dana tunggal di akun koinworks itu akan terisi sendiri ya atau seperti apa. Dan akun saya kelengkapan profilnya baru 57% itu karena sisa dokumen lain belum terverifikasi atau karena alasan lain, trims.",2020-07-27,0,0,0,-1,-1,0
cobain main dapet voucher gratisan gak ngerti ya udah skip,0.0,1.0,nl_nurdianii,"Cobain main koinworks tapi dapet dari voucher gratisan, masih gak ngerti caranya. Ya udah skip lagi aja",2020-07-25,0,0,0,-1,-1,0
privilege being financially educated ga dimiliki mayoritas masyarakat indonesia isinya ga orang jawa jouska muncul rame big alpha investasi milenial sbn meningkat drastis muncul bibit ajaib dll,0.0,1.0,adtarie,"Privilege being financially educated itu ga dimiliki oleh mayoritas masyarakat indonesia yg isinya ga cuma orang Jawa dan sekitarnya. Dari Jouska muncul rame Big Alpha, investasi milenial di SBN meningkat drastis, muncul bibit, ajaib, koinworks dll.",2020-07-25,0,4,0,-1,-1,0
amartha investree modalku,0.0,1.0,itsicecube1,"Amartha, koinworks, investree, modalku",2020-07-22,0,4,0,-1,-1,0
cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan investasimu genggaman,0.0,1.0,juffrypanglee,"Hi, Cek Penawaran KoinGold dari KoinWorks Super Financial Apps! Kamu bisa menemukan semua kebutuhanmu disini, jual beli emas digital dengan minimal pembelian Rp.1000 dan tanpa biaya apapun. Menarik bukan?
Segera unduh dan dapatkan semua kebutuhan Investasimu dalam genggaman",2020-07-21,1,4,0,3,-1,0
cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan,0.0,1.0,juffrypanglee,"Hi, Cek Penawaran KoinGold dari KoinWorks Super Financial Apps! Kamu bisa menemukan semua kebutuhanmu disini, jual beli emas digital dengan minimal pembelian Rp.1000 dan tanpa biaya apapun. Menarik bukan?
Segera unduh dan dapatkan semua kebutuhan",2020-07-21,1,4,0,-1,-1,0
cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan,0.0,1.0,juffrypanglee,"Hi, Cek Penawaran KoinGold dari KoinWorks Super Financial Apps! Kamu bisa menemukan semua kebutuhanmu disini, jual beli emas digital dengan minimal pembelian Rp.1000 dan tanpa biaya apapun. Menarik bukan?
Segera unduh dan dapatkan semua kebutuhan",2020-07-21,1,4,0,-1,-1,0
my company has been using financial services it is by far the easiest fastest most flexible loan provider and without collateral perfect for all your business needs and allow any business legality ie pt cv home industry including personal name,0.0,1.0,wuryani37136951,"My company has been using *KoinWorks financial services*, it is by far the easiest, fastest, *most flexible loan provider* and without collateral. Perfect for all your business needs and KoinWorks allow *any business legality* ie: PT / CV / Home Industry (including personal name",2020-06-30,0,1,0,-1,-1,14
thank youu,0.0,1.0,thedyluna,Thank youu..,2020-07-20,0,1,0,-1,-1,0
tolong cek dm ya min thanks,1.0,0.0,thedyluna,"Tolong cek DM ya min @koinworks 
Thanks",2020-07-20,4,0,0,-1,-1,0
sudah ada perbaikan udah kenyang oh baguslah ya uang lender anggap tumbuhkan pohon ya baguslah bagus kinerja logika neraka iblis dipake ya,0.0,1.0,eleazhar_p,"Sudah 6 bulan lebih tidak ada perbaikan. Udah kenyang kalian di sana? Oh, baguslah ya. Uang lender kalian anggap kami tumbuhkan di pohon. Ya, baguslah, bagus kinerja kalian, logika neraka iblis dipake terus ya...",2020-07-19,0,0,0,-1,-1,0
kasian deh nyangkut,0.0,1.0,zainaturee,Kasian deh yang nyangkut di Koinworks,2020-07-15,0,0,0,-1,-1,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,13,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,-1,13,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,13,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,13,0
